3,48.3303,34,341
4,82.4329,34,41
5,82.5772,42,77
6,82.9838,84,117
7,83.8777,87,195
8,101.742,135,239
9,101.965,150,315
10,102.394,188,397
11,113.376,239,506
12,154.864,286,612
13,154.964,338,722
14,155.214,396,848
15,156.253,459,984
16,184.381,530,1129
17,192.546,603,1282
18,192.794,731,1455
19,193.175,751,1634
20,193.522,843,1816
21,195.458,933,2029
22,237.75,1031,2246
23,242.024,1122,2482
24,242.505,1240,2722
25,247.523,1347,2953
26,247.629,1448,3206
27,247.853,1615,3480
28,248.306,1690,3768
29,249.048,1839,4114
30,284.763,1963,4369
31,289.05,2088,4605
32,289.548,2229,5005
33,291.104,2397,5302
34,300.14,2589,5707
35,304.965,2685,5933
36,318.695,2855,6322
37,319.322,2997,6763
38,341.829,3161,7057
39,341.96,3336,7491
40,342.365,3531,7931
41,388.477,3717,8340
42,388.588,3956,8684
43,388.776,4086,9240
44,389.323,4290,9645
45,390.563,4486,10150
46,405.927,4996,10807
47,425.131,4980,11292
48,431.735,5107,11633
49,447.593,5322,12087
50,448.009,5540,12625
51,461.042,5759,13063
52,461.264,6049,13556
53,473.911,6293,14338
54,484.007,6506,14818
55,484.627,6818,15485
56,485.457,7107,15840
57,485.617,7247,16684
58,494.502,7563,17053
59,494.841,7858,18140
60,495.761,8156,18327
61,510.034,8386,19254
62,522.492,8840,19950
63,525.479,8959,20233
64,528.699,9147,20841
65,530.982,9454,21537
66,558.12,9747,22402
67,562.948,10092,22893
68,567.224,10435,23578
69,567.731,10721,24608
70,580.052,11067,24869
71,580.336,11275,25691
72,598.773,11588,26931
73,599.099,12440,27479
74,599.213,12278,28153
75,599.483,12603,29107
76,610.614,12986,30036
77,610.814,13354,30665
78,612.066,13733,31456
79,667.128,14007,32550
80,677.257,14564,32943
81,677.401,14791,34184
82,677.685,15241,35454
83,688.032,15674,35572
84,703.094,16072,36791
85,703.385,16286,37444
86,716.036,16680,38432
87,716.241,17147,39134
88,716.412,17489,40172
89,716.855,17889,41290
90,743.027,18310,42167
91,769.172,18669,42699
92,769.321,19110,43789
93,769.544,19506,44974
94,769.982,20121,46290
95,777.309,20524,47522
96,779.24,21104,48476
97,790.543,21339,49337
98,790.878,21871,50168
99,791.185,22243,51398
100,804.758,22793,52815
101,805.25,23229,53339
102,823.968,23749,55554
103,836.285,24401,56131
104,850.561,24458,56677
105,858.725,24983,57850
106,859.174,25685,59803
107,859.403,25937,60656
108,860.946,26618,61365
109,861.424,26783,61975
110,879.477,27259,63330
111,884.3,28058,65500
112,902.507,28398,65837
113,903.116,28952,66921
114,904.909,29341,68584
115,908.105,30013,69597
116,912.112,30563,71362
117,912.573,31343,72498
118,913.658,31797,73207
119,933.28,32307,75127
120,955.453,32754,74881
121,955.64,33270,77790
122,956.199,33927,79153
123,967.922,34572,80278
124,968.397,35031,80415
125,980.718,35472,82185
126,980.848,35974,83817
127,982.848,36596,84806
128,997.113,37237,86481
129,1006.95,37919,88146
130,1018.42,38344,88775
131,1022.7,39081,90137
132,1023.78,39678,92061
133,1044.42,40269,95795
134,1044.52,40959,96906
135,1044.78,41485,96420
136,1057.08,41843,97241
137,1074.16,42605,99464
138,1096.33,43226,100813
139,1098.33,44086,104723
140,1098.81,45159,104087
141,1100.81,45327,107326
142,1102.81,45914,106472
143,1111.28,46541,109474
144,1111.75,47518,109888
145,1127.86,48004,110910
146,1136.5,48481,113776
147,1137.54,49487,113464
148,1139.27,50566,116168
149,1140.27,50577,118069
150,1141.57,51277,118934
151,1142.81,51879,120168
152,1159.04,53020,121888
153,1191.16,53285,123098
154,1191.29,54072,125096
155,1191.58,54841,127613
156,1191.81,55444,129302
157,1214.64,56224,131195
158,1250.39,56631,132579
159,1250.56,57795,134541
160,1251.3,58392,134991
161,1252.16,59310,137078
162,1252.94,60125,139298
163,1267.88,60304,141270
164,1270.41,60903,141951
165,1284.15,61763,144110
166,1292.61,62723,145130
167,1293.22,63398,147380
168,1293.55,64207,148390
169,1355.46,65200,151402
170,1359.73,65927,153482
171,1362.7,66908,155199
172,1362.84,67500,156662
173,1363.01,68277,160774
174,1363.34,69044,160641
175,1391.55,69705,163189
176,1392.79,70636,163939
177,1397.62,71354,167732
178,1400.08,71997,168569
179,1407.27,73061,170381
180,1407.42,74013,171943
181,1407.7,74534,174099
182,1409.7,75305,176326
183,1444.25,76460,179949
184,1474.38,77210,179732
185,1474.52,78444,182682
186,1474.71,78844,182832
187,1510.81,79456,185548
188,1512.81,80393,188637
189,1512.91,82098,189100
190,1513.15,81975,191389
191,1516.38,83251,193164
192,1544.4,84074,196564
193,1554.27,85150,199112
194,1555.33,85882,200628
195,1577.7,87175,203014
196,1577.88,87362,202907
197,1578.5,88830,205612
198,1579,88966,206594
199,1579.65,90162,210299
